State,Category,Subcategory,Estimated Population,State Population
Nebraska,Ancestry,Irish,226025,1920076
Nevada,Ancestry,Irish,250268,2998039
New Hampshire,Ancestry,Irish,276506,1342795
New Jersey,Ancestry,Irish,1203607,9005644
New Mexico,Ancestry,Irish,123150,2088070
New York,Ancestry,Irish,2201422,19849399
North Carolina,Ancestry,Irish,845007,10273419
North Dakota,Ancestry,Irish,64015,755393
Ohio,Ancestry,Irish,1453131,11658609
Oklahoma,Ancestry,Irish,397742,3930864
Oregon,Ancestry,Irish,446541,4142776
Pennsylvania,Ancestry,Irish,1991887,12805537
Rhode Island,Ancestry,Irish,187403,1059639
South Carolina,Ancestry,Irish,446893,5024369
South Dakota,Ancestry,Irish,85540,869666
Tennessee,Ancestry,Irish,611925,6715984
Texas,Ancestry,Irish,1689177,28304596
Utah,Ancestry,Irish,182769,3101833
Vermont,Ancestry,Irish,98349,623657
Virginia,Ancestry,Irish,756901,8470020
Washington,Ancestry,Irish,775763,7405743
West Virginia,Ancestry,Irish,233578,1815857
Wisconsin,Ancestry,Irish,611903,5795483
Wyoming,Ancestry,Irish,66975,579315
Alabama,Ancestry,Italian,81045,4874747
Alaska,Ancestry,Italian,19204,739795
Arizona,Ancestry,Italian,291027,7016270
Arkansas,Ancestry,Italian,50555,3004279
